frame_id,track_count,active_track_ids,arm_velocity,body_velocity,fall_score,approach_velocity,risk_score,fused_score,state,active_rules,persistence_scores
76,3,1;2;4,4.3614,5.6889,0.4211,7.1480,0.4270,0.4270,NORMAL,RAPID_APPROACH;DIRECTED_ARM_SWING;SUSTAINED_CONTACT,"{""[2]"": 0.15288283333442487, ""[4]"": 0.4000425887380468, ""[1, 4]"": 0.4269898790266388, ""[2, 4]"": 0.18806648163005107}"
77,3,1;2;4,0.0000,0.0000,0.4211,0.0000,0.5977,0.5977,NORMAL,CAMERA_RUSH,"{""[2]"": 0.1406522066676709, ""[4]"": 0.5977350728541507, ""[1, 4]"": 0.3928306887045077, ""[2, 4]"": 0.173021163099647}"
78,3,1;2;4,2.2221,2.2962,0.3532,2.5323,0.5499,0.5499,NORMAL,RAPID_APPROACH;SUSTAINED_CONTACT,"{""[2]"": 0.12940003013425722, ""[4]"": 0.5499162670258186, ""[1, 4]"": 0.38220071074235545, ""[2, 4]"": 0.2524427979226115}"
79,2,2;3,0.0000,0.0000,0.3532,2.6566,0.5059,0.5059,NORMAL,,"{""[2]"": 0.11904802772351665, ""[4]"": 0.5059229656637532, ""[1, 4]"": 0.35162465388296704, ""[2, 4]"": 0.23224737408880258}"
80,2,2;3,1.8354,0.7650,0.3207,6.0802,0.4654,0.4654,NORMAL,CAMERA_RUSH;RAPID_APPROACH,"{""[2]"": 0.10952418550563532, ""[4]"": 0.46544912841065295, ""[1, 4]"": 0.3234946815723297, ""[2, 4]"": 0.2136675841616984, ""[2, 3]"": 0.17741768450487758, ""[3]"": 0.2365569126731701}"
81,2,2;3,0.0000,0.0000,0.3207,2.6421,0.4282,0.4282,NORMAL,,"{""[2]"": 0.1007622506651845, ""[4]"": 0.42821319813780073, ""[1, 4]"": 0.2976151070465433, ""[2, 4]"": 0.19657417742876254, ""[2, 3]"": 0.16322426974448737, ""[3]"": 0.21763235965931652}"
82,2,2;3,3.1456,4.1908,0.8326,5.8832,0.3940,0.3940,NORMAL,FALL_EVENT;RAPID_APPROACH,"{""[2]"": 0.09270127061196974, ""[4]"": 0.39395614228677667, ""[1, 4]"": 0.2738058984828199, ""[2, 4]"": 0.18084824323446155, ""[2, 3]"": 0.33673790246992663, ""[3]"": 0.32460282042323674}"
83,2,2;3,0.0000,0.0000,0.8326,2.6389,0.3624,0.3624,NORMAL,,"{""[2]"": 0.08528516896301216, ""[4]"": 0.36243965090383456, ""[1, 4]"": 0.2519014266041943, ""[2, 4]"": 0.16638038377570463, ""[2, 3]"": 0.3097988702723325, ""[3]"": 0.2986345947893778}"
84,2,2;3,3.5933,11.7735,0.2901,15.7104,0.4449,0.4449,NORMAL,RAPID_APPROACH,"{""[2]"": 0.07846235544597119, ""[4]"": 0.33344447883152784, ""[1, 4]"": 0.23174931247585875, ""[2, 4]"": 0.15306995307364826, ""[2, 3]"": 0.4448689917153318, ""[3]"": 0.2747438272062276}"
85,3,2;3;1,0.0000,0.0000,0.2901,2.6336,0.4093,0.4093,NORMAL,,"{""[2]"": 0.0721853670102935, ""[4]"": 0.3067689205250056, ""[1, 4]"": 0.21320936747779007, ""[2, 4]"": 0.1408243568277564, ""[2, 3]"": 0.40927947237810525, ""[3]"": 0.2527643210297294}"
86,3,2;3;1,2.9317,5.3366,0.3573,6.3305,0.5499,0.5499,NORMAL,RAPID_APPROACH;SUSTAINED_CONTACT,"{""[2]"": 0.06641053764947003, ""[4]"": 0.2822274068830052, ""[1, 4]"": 0.19615261807956688, ""[2, 4]"": 0.1295584082815359, ""[2, 3]"": 0.5499348611582566, ""[3]"": 0.23254317534735106, ""[1, 3]"": 0.04026640941067357}"
87,3,2;3;1,0.0000,0.0000,0.3573,2.6467,0.5059,0.5059,NORMAL,CAMERA_RUSH,"{""[2]"": 0.061097694637512426, ""[4]"": 0.25964921433236476, ""[1, 4]"": 0.18046040863320154, ""[2, 4]"": 0.11919373561901303, ""[2, 3]"": 0.5059400722655961, ""[3]"": 0.213939721319563, ""[1]"": 0.12249771092204201}"
88,3,2;3;1,8.6075,4.1849,0.3740,4.4838,0.4763,0.4763,NORMAL,SUSTAINED_CONTACT,"{""[2]"": 0.05620987906651143, ""[4]"": 0.2388772771857756, ""[1, 4]"": 0.1660235759425454, ""[2, 4]"": 0.10965823676949199, ""[2, 3]"": 0.47628161171833994, ""[3]"": 0.19682454361399795, ""[1]"": 0.11269789404827865, ""[1, 3]"": 0.036291179422557024}"
89,3,2;3;1,0.0000,0.0000,0.3740,2.6754,0.4382,0.4382,NORMAL,,"{""[2]"": 0.05171308874119052, ""[4]"": 0.21976709501091354, ""[1, 4]"": 0.1527416898671418, ""[2, 4]"": 0.10088557782793263, ""[2, 3]"": 0.43817908278087275, ""[3]"": 0.18107858012487812, ""[1]"": 0.10368206252441636}"
90,3,2;3;1,12.1979,9.2232,0.3797,9.9035,0.5983,0.5983,NORMAL,RAPID_APPROACH;SUSTAINED_CONTACT,"{""[4]"": 0.20218572741004046, ""[1, 4]"": 0.14052235467777044, ""[2, 4]"": 0.09281473160169802, ""[2, 3]"": 0.598317838879971, ""[3]"": 0.16659229371488787, ""[1]"": 0.09538749752246306, ""[1, 3]"": 0.032686797545216646}"
91,3,2;3;1,0.0000,0.0000,0.3797,2.6788,0.5505,0.5505,NORMAL,,"{""[4]"": 0.18601086921723722, ""[1, 4]"": 0.1292805663035488, ""[2, 4]"": 0.08538955307356219, ""[2, 3]"": 0.5504524117695734, ""[3]"": 0.15326491021769684, ""[1]"": 0.08775649772066602}"
